id,e2_1,e2_2,e2_3,e2_4,e2_5,e2_6,e2_7,e2_8,SMILES,pkbhx
id920,-0.02,0.1,0.69,0.96,-0.14,-0.78,-0.27,0.35,C(N(C[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1)Cc1ccccc1)c1ccccc1,-0.39
id921,-0.23,0.14,0.58,0.38,-0.22,-0.39,-0.25,0.9,[Cl:1]CCCCCCl,-0.39
id922,-0.45,-0.01,0.75,0.29,-0.18,-0.43,-0.26,1.61,c1cc[o:1]c1,-0.4
id923,-0.28,0.17,0.57,0.11,-0.15,-0.06,-0.26,0.99,CC[Br:1],-0.4
id924,-0.24,0.17,0.52,0.24,-0.16,-0.11,-0.19,0.91,CC[S:1]SCC,-0.4
id925,-0.25,-0.12,0.67,0.51,-0.03,-0.53,-0.2,0.99,C(OCc1ccccc1)[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1,-0.41
id926,-0.29,0.02,0.63,0.45,-0.14,-0.48,-0.23,0.89,C[O:1]C(C(F)(F)F)C(F)(F)F,-0.41
id927,0.01,0.03,0.52,0.79,-0.06,-0.66,-0.22,0.26,C([c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1)c1ccccc1,-0.41
id928,-0.21,0.1,0.5,0.32,-0.16,-0.33,-0.22,0.92,CCCC[Cl:1],-0.41
id929,-0.52,0.02,1,0.42,-0.22,-0.62,-0.36,2.14,O(c1ccccc1)[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1,-0.43
id930,0.39,0.11,-0.16,0.42,0.17,0.21,-0.08,-1.13,C1[c:1]2[cH:1][cH:1][cH:1][cH:1][c:1]2Oc2ccccc12,-0.43
id931,-0.29,0.04,0.64,0.27,-0.13,-0.37,-0.24,1.39,[CH:1]#[C:1]CCC#C,-0.43
id932,-0.2,0.06,0.61,0.49,-0.14,-0.49,-0.25,0.98,[CH:1]#[C:1]c1ccccc1,-0.44
id933,-0.47,0.02,0.81,0.33,-0.17,-0.42,-0.27,1.68,C1Oc2ccccc2[O:1]1,-0.45
id934,-0.63,0.17,1.59,0.21,-0.28,-0.71,-0.57,3.79,C[Si](C)(C)[NH:1][Si](C)(C)C,-0.45
id935,-0.74,-0.12,1.28,0.23,-0.18,-0.94,-0.49,3.99,C[c:1]1[cH:1][c:1](n[c:1]([cH:1]1)C(C)(C)C)C(C)(C)C,-0.45
id936,-0.68,-0.22,0.46,-0.02,-0.16,-0.03,-0.11,0.66,ICCCC[I:1],-0.46
id937,-0.19,-0.03,0.68,0.69,-0.07,-0.62,-0.24,0.67,c1ccc(cc1)-[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1,-0.47
id938,0.34,0.12,-0.27,0.17,0.19,0.16,-0.15,-0.61,ClCCCC[Cl:1],-0.47
id939,0.04,0.17,0.3,0.44,-0.07,-0.23,-0.16,-0.03,[Br:1]C1CC1,-0.47
id940,0.25,0.19,-0.12,0.23,0.09,0.29,0.06,-1.13,BrCCCC[Br:1],-0.47
id941,-0.24,-0.01,0.3,0,0.08,0.06,-0.07,0.45,C[I:1],-0.47
id942,0.03,-0.05,0.02,-0.06,0.22,0.21,0.01,-0.37,CC[I:1],-0.47
id943,0.02,0.16,0.6,0.82,-0.08,-0.6,-0.32,-0.04,CS[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1,-0.48
id944,0.17,-0.09,0.26,0.81,0.07,-0.68,-0.31,-0.39,c1cc[c:1]2[cH:1][cH:1][cH:1][cH:1][c:1]2c1,-0.48
id945,-0.26,-0.04,0.7,0.63,-0.1,-0.64,-0.26,0.93,[cH:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1,-0.49
id946,-0.26,0.19,0.55,0.21,-0.17,-0.13,-0.2,1,C[S:1]SC,-0.49
id947,-0.49,0,0.95,0.3,-0.19,-0.44,-0.32,1.91,Fc1[n:1]c(F)c(F)c(F)c1F,-0.49
